File_Name,Table_Name,column_name,data_type,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",0,Graduate,No,5849,0,,360,1,Urban,Y
LP001003,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001005,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001006,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001008,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001011,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001013,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP001014,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001018,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001020,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001024,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001027,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",2,Graduate,,2500,1840,109,360,1,Urban,Y
LP001028,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP001029,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",0,Graduate,No,1853,2840,114,360,1,Rural,N
LP001030,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP001032,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",0,Graduate,No,4950,0,125,360,1,Urban,Y
LP001034,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",1,Not Graduate,No,3596,0,100,240,,Urban,Y
LP001036,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",0,Graduate,No,3510,0,76,360,0,Urban,N
LP001038,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP001041,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",0,Graduate,,2600,3500,115,,1,Urban,Y
LP001043,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",0,Not Graduate,No,7660,0,104,360,0,Urban,N
LP001046,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",1,Graduate,No,5955,5625,315,360,1,Urban,Y
LP001047,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001050,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP001052,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",1,Graduate,,3717,2925,151,360,,Semiurban,N
LP001066,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
LP001068,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
LP001073,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP001086,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",0,Not Graduate,No,1442,0,35,360,1,Urban,N
LP001087,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",2,Graduate,,3750,2083,120,360,1,Semiurban,Y
LP001091,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",1,Graduate,,4166,3369,201,360,,Urban,N
LP001095,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",0,Graduate,No,3167,0,74,360,1,Urban,N
LP001097,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int32",1,Graduate,Yes,4692,0,106,360,1,Rural,N
LP001098,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float64",0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
LP001100,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",3+,Graduate,No,12500,3000,320,360,1,Rural,N
LP001106,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",0,Graduate,No,2275,2067,,360,1,Urban,Y
LP001109,Accounts,,"datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,1828,1330,100,,0,Urban,N
LP001112,Loans,,"int64, varchar(55),string,bool",0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
LP001114,Dates,,"int64,varchar[25],string,int33",0,Graduate,No,4166,7210,184,360,1,Urban,Y
LP001116,Debts,,"float64,string,int32,float65",0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
LP001119,Accounts,"['account_id','account_code','account_name,'account_amount']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,3600,0,80,360,1,Urban,N
LP001120,Loans,"['loan_amount','loan_code','loan_name',loan_id']","int64, varchar(55),string,bool",0,Graduate,No,1800,1213,47,360,1,Urban,Y
LP001123,Dates,"['loan_date', 'open_account','start_date','end_date']","int64,varchar[25],string,int33",0,Graduate,No,2400,0,75,360,,Urban,Y
LP001131,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","float64,string,int32,float65",0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
LP001136,Debts,,"datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
LP001137,Accounts,"['account_id','account_code','account_name,'account_amount']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,3410,0,88,,1,Urban,Y
LP001138,Loans,"['loan_amount','loan_code','loan_name',loan_id']","int64, varchar(55),string,bool",1,Graduate,No,5649,0,44,360,1,Urban,Y
LP001144,Dates,"['loan_date', 'open_account','start_date','end_date']","int64,varchar[25],string,int33",0,Graduate,No,5821,0,144,360,1,Urban,Y
LP001146,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","float64,string,int32,float65",0,Graduate,No,2645,3440,120,360,0,Urban,N
LP001151,Accounts,"['account_id','account_code','account_name,'account_amount']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP001155,Loans,"['loan_amount','loan_code','loan_name',loan_id']","int64, varchar(55),string,bool",0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
LP001157,Dates,"['loan_date', 'open_account','start_date','end_date']","int64,varchar[25],string,int33",0,Graduate,No,3086,0,120,360,1,Semiurban,Y
LP001164,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","float64,string,int32,float65",0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP001179,Accounts,"['loan_amount','loan_code','loan_name',loan_id']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",2,Graduate,No,4616,0,134,360,1,Urban,N
LP001186,Loans,"['loan_date', 'open_account','start_date','end_date']","int64, varchar(55),string,bool",1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP001194,Dates,"['debt_amount','debt_ID','debt_name', 'is_active']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP001195,Debts,,"int64, varchar(55),string,bool",0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP001197,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int34",0,Graduate,No,3366,2200,135,360,1,Rural,N
LP001198,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float66",1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP001199,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
LP001205,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","int64, varchar(55),string,bool",0,Graduate,No,2500,3796,120,360,1,Urban,Y
LP001206,Accounts,"['account_id','account_code','account_name,'account_amount']","int64,varchar[25],string,int34",3+,Graduate,No,3029,0,99,360,1,Urban,Y
LP001207,Loans,"['loan_amount','loan_code','loan_name',loan_id']","float64,string,int32,float66",0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP001213,Dates,"['loan_date', 'open_account','start_date','end_date']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",1,Graduate,No,4945,0,,360,0,Rural,N
LP001222,Debts,"['debt_amount','debt_ID','debt_name', 'is_active']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP001225,Accounts,"['loan_amount','loan_code','loan_name',loan_id']",,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP001228,Loans,"['loan_date', 'open_account','start_date','end_date']","int64, varchar(55),string,bool",0,Not Graduate,No,3200,2254,126,180,0,Urban,N
LP001233,Dates,"['debt_amount','debt_ID','debt_name', 'is_active']","int64,varchar[25],string,int33",1,Graduate,No,10750,0,312,360,1,Urban,Y
LP001238,Debts,,"float64,string,int32,float65",3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
LP001241,Accounts,"['loan_amount','loan_code','loan_name',loan_id']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",0,Graduate,No,4300,0,136,360,0,Semiurban,N
LP001243,Loans,"['loan_date', 'open_account','start_date','end_date']","int64, varchar(55),string,bool",0,Graduate,No,3208,3066,172,360,1,Urban,Y
LP001245,Dates,"['debt_amount','debt_ID','debt_name', 'is_active']","datetime64[ns],datetime64[ns],datetime64[ns],datetime64[ns]",2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
